track_id,text_preview,full_text_analyzed,unnatural,natural,dominant_class,confidence
1,"В аквапарке реально охуенно, реально охуенно Ну реально правда охуенно В аквапарке горки, джакузи, в...","В аквапарке реально охуенно, реально охуенно Ну реально правда охуенно В аквапарке горки, джакузи, ванны и фонтан С детьми были там вчера. Разговариваю сам с собой Пуская слезу возле зеркала Очень хочу намутить себе Мерс Намутил пиздатую проститутку, а она упорота Анал использован Славой, ещё в ту пору Слил ей на куртку, размазал суши вокруг рта Колу обвафлила, сделала, сука, напасов семнадцать И наблевала Это химическая реакция организма у Аллы Забери свои потники , трогай эти Лакосты А то я въ",0.8199092745780945,0.18009069561958313,unnatural,0.8199092745780945
2,"Куча пенисов упирается мне в лицо Я не вижу где яйца, но лижу мошонку Его семя как сгущёнка Да похуй...","Куча пенисов упирается мне в лицо Я не вижу где яйца, но лижу мошонку Его семя как сгущёнка Да похуй Прыгай в моё лоно Пиздатое порно, рвутся гандоны Кожаные трулики и для пердака шарики Я как рэпер в трубах Говорят завязывай и пальчиком меня зазывает какой-то казах Мне нравится его похоть Но у него перхоть и пахнет от его паха плохо Но кстати хуй такой довольно плотный Тонко выщипав брови Парик сидит на мне клёво Ноги брить здорово Ты можешь попробовать это вместе со мной В моей ванной найдётся",0.5181788802146912,0.48182108998298645,unnatural,0.5181788802146912
3,"Вспоминаю случай с НЛО Возможно, чёрная дыра Галактика — прикольная штука Что-то живёт с нами рядом ...","Вспоминаю случай с НЛО Возможно, чёрная дыра Галактика — прикольная штука Что-то живёт с нами рядом Нормальные **** не доверяют Звёздные десанты мне не братья. Чужие нам нужны технологии, это никогда не закончится Стебусь над школьницами, это заводит Представляю чётко, чем всё это кончится Как моя ракетница входит в твоё депо Здесь только два варианта Откуда в жопе бриллианты? Красиво сосала дома при свечах Палёное шампанское, или вспомнил, как сижу в наручниках в карцере Чётко охуеваю, сколько ",0.42552199959754944,0.5744779706001282,natural,0.5744779706001282
4,"Не молчи больше так Только не—. Чтобы приготовить салат с вешенками Карпаччо и черри, добавь грибы Ж...","Не молчи больше так Только не—. Чтобы приготовить салат с вешенками Карпаччо и черри, добавь грибы Жарить в течение… в течение минуты Одинокий ДПСник — Мясник делает ланьет И помни, наша цель — не вспахать землю А доставить удовольствие вашей половинке Сделав ей не забываемый день Спустя какое-то время Слегка следует разнообразить движения Проводим широкой частью языка по половым губам Полностью накрыв их Делаем несколько таких движений И вновь возвращаемся к клитору Поигрываем с ним кончиком яз",0.9861629605293274,0.013837063685059547,unnatural,0.9861629605293274
5,"Выебут и даже не спросят Не прут колёса Не спорь с нами, иначе тебя выебут Тебя выебут тут Выебут и ...","Выебут и даже не спросят Не прут колёса Не спорь с нами, иначе тебя выебут Тебя выебут тут Выебут и даже не спросят Не прут колёса . У коровы есть вымя, не доёбывай меня Большой хуй у коня  У меня конечно поменьше Я ебал не много женщин Точнее шесть, не больше и не меньше Для нас ты шерсть, для них ты шершень Дыши глубже, джинсы заужены Хуёвенько поужинал  Ты пидераста хуже Нанюхайте меня уже В колонках Обойма Кажэ  Иногда разводятся жена с мужем Какую-то хуйню щас скушал Мне похуй, даже, если м",0.9747642874717712,0.02523576281964779,unnatural,0.9747642874717712
6,"Блёвбургер — это вам не гамбургер Вялый хер, опиумная прослойка из мудей Луговая тростинка, немного ...","Блёвбургер — это вам не гамбургер Вялый хер, опиумная прослойка из мудей Луговая тростинка, немного лука Мука и хуй моржа, за место кунжута — анаша Параша за место соуса, в замес идёт филе сома Патиссоны наструганы чётко У повара изящная чёлка Ведёт себя как тёлка Сыр просроченный, очень вкусно Кошачий ус, точечный массаж Семёновский пассаж, Volkswagen Passat Я поссал на грудь Степановой Двойная сплошная полоса, даже депутаты едят А в каноях дети спят Уж выпрыгивает из машины и отрыгивает мясо М",0.5214040875434875,0.47859588265419006,unnatural,0.5214040875434875
7,"Вот это фрукты, Иисус был круглым Я пеку курник, ты как Укупник, теребишь бульбик Не скуришь то, что...","Вот это фрукты, Иисус был круглым Я пеку курник, ты как Укупник, теребишь бульбик Не скуришь то, что скрутим Ведь ты пудель, похуй, ведь один хуй — Путин Хуй макаю в пудинг, утро будит полкой сути Помню твой игривый клитор — он приторный В сердце нарыв, с неба сыпятся нимбы Мы курим болиды, ты чешешь фолликулы Душа болит, давай бахнем по литру Мы так же долбим, не всё можно купить за доллары One love дворам и не кури перед иконами Nikon или Konika? Хэш или поника? Вид покойника, глотай — это не ",0.9800864458084106,0.019913580268621445,unnatural,0.9800864458084106
8,"А-а, вас интересуют истории про вампиров? Боги и демоны — братья, как день и ночь. Голова зашита в т...","А-а, вас интересуют истории про вампиров? Боги и демоны — братья, как день и ночь. Голова зашита в трёх местах Не успел посрать — уже доел мюсли Это просто пизда Хотя просто похожие вкусы Демоны уже заебали Рента с пенсионером — это схема чёрных риелторов Закопали в Реутове дедушку Уверен, перед смертью Наставляли пушку Слишком большой куш Его девушка слишком ушлая В колёсах ушла из клуба, шла через кладбище Остановилась вдруг Словно русалка прыгнула в пруд Ебал кошачий труп Как в хот-доге, соба",0.8514354825019836,0.14856448769569397,unnatural,0.8514354825019836
9,Целую тебя крепко киса моя Ты самая лучшая кошка у меня Самая добрая Самая норма Самая нежная Самая ...,Целую тебя крепко киса моя Ты самая лучшая кошка у меня Самая добрая Самая норма Самая нежная Самая нужная Иди же сюда ну же Ты круче осенней тучи Ближе тебя нету Слушай песню эту и зимой и летом И со мной и даже если меня рядом нету Хочу быть с тобой рядом где-то В области той пушистой мягкости Делая тебе гадости Пытаясь сделать радость Хотя все честно Твое внимание ко мне очень лестно Очень интересно смотреть как сидишь в кресле или там на диване Было здорово заниматься сексом с тобой в ванне ,0.634503185749054,0.36549678444862366,unnatural,0.634503185749054
10,"Привет, Питер, привет всем Группа Kunteynir зашлёт вам привет Но не в конверте, вся фишка. Каждый де...","Привет, Питер, привет всем Группа Kunteynir зашлёт вам привет Но не в конверте, вся фишка. Каждый день нас мучила проблема: Когда нас принимает опер с феном Парень слева, смотри, Лену увозят в отдел Я похудел, думал о ней и бледнел Белели облака, плакал, когда какал Мне позвонила Наталья и сказала: «Mal Da Udal заказал товар» (Отоварим, заковарим Отоварим, заковарим).  Омар с утра звонил, был грустным У Наташи очень узко, включаю музыку По телефону говорю шепча, голос сорван  «А у тебя как дела?",0.36593833565711975,0.6340616941452026,natural,0.6340616941452026
11,"Чё, всё? Поздно  Как прекрасно, школьные годы Школьные годы, мы их не забыли, а Школа. Мы не забыли ...","Чё, всё? Поздно  Как прекрасно, школьные годы Школьные годы, мы их не забыли, а Школа. Мы не забыли школьные годы: параллелепипеды Формулы, химию. Мы не забыли Россию Которая нас учила быть сильными Когда меня таблетку достать попросили, я изменился Всё забыл. Я план курил, продавал героин Стал зависим от мысли: «Что со мной будет дальше Если…» И стал жрать кислую вместе с теми Кто был соседями для меня в этой жизни Мозги зависли, солнце появилось, я вскрылся А, я вскрылся Спасибо. Ну, под конец",0.4564090371131897,0.5435909628868103,natural,0.5435909628868103
12,"Е, вот гусь, е, Пашок Е, гусь, е-е, голимый гусь, смотри, смотри, е. Усталый путник, что в твоей сум...","Е, вот гусь, е, Пашок Е, гусь, е-е, голимый гусь, смотри, смотри, е. Усталый путник, что в твоей сумке Косо смотрит сотрудник на дрожащие руки Ради палки или пары-пары рубликов Путают меня с барыгой, а я с тренировки прусь Е. Вот гуси В моей сумке мокрая форма, е, пару перчаток И па-па-пару бинтов там, е Вот гуси, вот гуси. Пашок, скажи начистоту, что там — под крышкой андеграунда? Ты помнишь, как мы читали? Я в насвае купаюсь А он купил путану с губами, заманил, так сказатьВ рулетку сыграем, но",0.9855097532272339,0.014490275643765926,unnatural,0.9855097532272339
13,"Зачем стоишь? Губа не дура Я кашляю Нас окружают каштаны, мне страшно Bad trip, кошмар, было сначала...","Зачем стоишь? Губа не дура Я кашляю Нас окружают каштаны, мне страшно Bad trip, кошмар, было сначала жарко Под кожу два куба черняги, глаза сужены Заранее купил острые ножи, тем же вечером в душ Как ниндзя, изящно сниму кожу Подкожный жир - это твои грехи - сбрось их Прыгни на турник В нэте анаболик заценил Меня зацепило Внутри не угасающий пыл В комнате пыльно От стабильности след... ...и убрала холсты С виду ты русская, метро Белорусское Касаюсь к тебе, притирюсь Слышал, ты поправляешься Кушае",0.8979429602622986,0.1020570918917656,unnatural,0.8979429602622986
14,"Летят годы, как ветер в горы Из песни слов не выкинешь Или ты щас, сука, со мной этот костыль вытяне...","Летят годы, как ветер в горы Из песни слов не выкинешь Или ты щас, сука, со мной этот костыль вытянешь Понял, малыш? Или ты кого то лупишь? А кто то в потёртой шинели долбит руку рядового Эх, их пивка б сейчас медового Но Задорнов с винила всякие шуточки исполняет Следующая строка Здесь духам один дед на спины кончает Его зовут сержант Печальный А я случайно наблюдал картину: Высокий забор и ничего не видно И стрельбище в видном Я помню те грибы после водного Как меня перло на волне А я сейчас н",0.9839767217636108,0.01602330431342125,unnatural,0.9839767217636108
15,"Привет всем, меня мал.... Привет всем, меня зовут Максим Синицын Вставляю палки в спицы Я никогда не...","Привет всем, меня мал.... Привет всем, меня зовут Максим Синицын Вставляю палки в спицы Я никогда не бывал на Ибице Но в принципе уже живу заебись Эта запись может окислиться Нынче продают хуевый лизер Эй, народ, становись в ряд! Митинговал возле памятника на октябрьской В этот вечер ноябрьский Хочу впервые в жизни с тусы этой слиться Как воздух проходит через двигатель в истребителе Любители родителей Фанаты приветствуют расизм в стиле Постели сам себе застелил Последний поезд Не успеваю на Фил",0.6852136850357056,0.3147863447666168,unnatural,0.6852136850357056
