song_id,dominant_cluster,cluster_0_%,cluster_1_%,cluster_2_%,text_preview
1,2,31.5,31.5,37.1,аквапарк реально_охуенно реально_охуенно реально правда охуенно аквапарк горка джакузи ванна...
2,2,24.4,35.0,40.7,куча пенис упираться лицо видеть яйцо лизать мошонка семя сгущенка...
3,0,46.2,30.1,23.7,вспоминать случай нло возможно черный дыра галактика прикольный штука жить...
4,0,48.3,32.0,19.7,молчать больше приготавливать салат вешенка карпаччо черри добавлять гриб жарить...
5,1,19.5,45.1,35.4,выебывать спрашивать переть колесо спорить выебывать выебывать выебывать спрашивать переть...
6,1,21.1,47.4,31.4,блевбургер гамбургер вялый хер опиумный прослойка мудеть луговой тростинка немного...
7,1,26.4,45.8,27.8,фрукт иисус быть круглый печь курник укупник теребить бульбика скуривать...
8,0,34.3,33.2,32.5,интересовать история вампир бог демон брат день ночь голова зашивать...
9,0,63.0,11.6,25.4,целовать крепко киса хороший кошка добрый норма нежный нужный идти...
10,2,32.4,19.1,48.5,привет питер привет группа засылать привет конверт фишка день мучить...
11,0,44.0,21.2,34.8,че поздно прекрасный школьный_год школьный_год забывать школа забывать школьный_год параллелепипед...
12,1,18.4,45.4,36.2,гусь пашок гусь голимый гусь смотреть смотреть усталый путник сумка...
13,2,28.2,33.1,38.7,стоять губа_дура кашлять окружать каштан страшно кошмар быть сначала жарко...
14,1,27.0,36.8,36.2,лететь год ветер гора песня слово выкидывать щас сука костыль...
15,2,31.2,29.5,39.3,привет маленький привет звать максим_синицын вставлять палка спица бывать ибица...
16,2,29.2,33.8,36.9,мусор разговаривать шепотом урал доставать карман штора гусек суета девка...
17,1,17.9,61.6,20.5,раз_раз идти поход набор растаман брать_рот довольно удуть прикольно поставлять...
18,2,20.7,32.9,46.4,кальмар пиздабол пиздос любимый кричать жена комната любимый кричать лесбиянка...
19,2,21.4,21.4,57.1,бит_конфетка вставать епт ребята один хуй стафф покурить ахуй сейчас...
20,2,27.6,28.8,43.6,колбасить колбасить год приходить момент приходить момент отвечать уважить кусок...
21,2,35.9,27.6,36.5,внезапный смерть вспышка быть че халат выходить душа ебать морковка...
22,0,43.1,30.6,26.3,ахуенно убивать взять тупо голова выстреливать похуй мочь посадить похуй...
23,1,34.1,34.6,31.3,смерть начало долгий опасный путешествие смерть начало долгий опасный путешествие...
24,2,28.8,28.0,43.2,дмитровский пара кусок лефортово пешком римский школа рано клинский дикси...
25,0,41.2,24.6,34.2,клевета играть сэт чили сука ивлев садиться стул видеть пизда...
26,1,18.6,44.6,36.7,звать ебаться представлять тема представлять медленный представлять едкий тихий одесса...
27,0,37.7,28.8,33.5,храм сон храм слово храм прогоны игрок новый закон принимать...
28,2,25.0,35.5,39.5,прыгнуть сходу член получать хотеть изображать верить оказываться весело далеко...
29,2,20.1,36.3,43.6,можно накатать наркота впирать кайф крайняк херовый кумар врубаться арчи...
30,2,32.6,29.7,37.7,близкий слово надо спрашивать взгляд спрашивать вновь отвечать взгляд злобный...
31,0,54.2,26.8,18.9,ужас закопать_глубоко быть просто закопать_глубоко можно закопать_глубоко похуй закопать_глубоко закопать_глубоко...
32,1,21.4,51.8,26.8,говорить писать лысый тупить доставать шиш джунгли похуй дом родной...
33,1,20.9,42.9,36.2,раз_раз раз ивлев максим_синицын вписка приносить порошок вымутить диск низкий...
34,0,52.2,25.5,22.3,илья глызин дым утро работа трудный смена вечер саша отдаваться...
35,1,22.3,39.3,38.3,блин строчка блин вайт па_па па_па замутить акция изнасиловать поп...
36,2,31.4,28.6,40.0,любовь добро любить близкие доставлять радость беда обходить сторона аля...
37,0,34.2,34.2,31.5,алкоголь спорт блять дешовка стоять много чудеса поцелуй киска стекать...
38,1,28.4,37.7,33.9,ясный красный опасный чело пятница замутить белый впаривать чухан мел...
39,0,36.4,34.5,29.1,трусы гашиш доезжать писать гриндер помельчить анаша гриндер помельчить анаша...
40,0,42.9,31.9,25.2,песенка_короткий жизнь песенка_короткий жизнь подворачивать джинсы чувак ссать жизнь песенка_короткий...
41,1,34.7,38.4,26.8,кисловодск кисловодск подымать тост веселиться радоваться город маленький душа простой...
42,2,34.5,29.3,36.2,йоу плохой лошадь курить красный площадь тощий береза роща варить...
43,1,27.2,36.7,36.0,менять_коран менять_коран новый новый схема йоу мама мочь приготавливать котлета...
44,2,24.7,18.7,56.7,риза спасать хуй прикладывать нос брать глубоко чуть подавиться понравиться...
45,0,55.5,15.2,29.3,знать правда понимать надо надо думать стадо хотеть дунуть можно...
46,2,30.3,31.5,38.2,вставать суд идти подсудимый блев приговор год режим строгий помнить...
47,1,22.8,40.6,36.6,последний раз луна выходить подъезд лефортовский маньяк вставать поесть утро...
48,1,34.1,36.4,29.5,хотеть быть_сильный хотеть быть_сильный штат соединять почти обспермленный надо прихватывать...
49,1,24.7,39.7,35.6,отъебаться метро молча входить вагон погон вечерний рейс бронь залезать...
50,0,56.0,11.9,32.1,обувь задумывать вынимать дунуть поправлять впаривать вставлять наполовину палевный плов...
51,0,66.3,11.0,22.7,друг че ебальник грустный добрый утро блять сегодня прекрасный день...
52,0,47.8,27.1,25.1,подымать_рука подымать_рука подымать_рука делать зарядка утро делать зарядка утро ниггер...
53,1,27.8,37.5,34.7,побыть побыть нападывать грусть русь слушать гуфа гуталин натирать туфля...
54,0,62.2,11.2,26.5,первый читать йоу йау подымать текст место йоу сколько_дым влезать_легкое...
55,1,27.5,42.3,30.2,кровь гидрохлор захлопывать дверь реальность анус сползать болт подруга взбалтывать...
56,1,34.8,34.8,30.4,хотеть_вдуть хотеть_вдуть кальмар пупсик синицын тусит техник курить возврат ждать...
57,2,15.9,20.6,63.5,мерс папин жопа мамин нобригайбиг ибригайбиг хач ебаный яникс пидорас...
58,2,28.3,23.0,48.7,ротишь_ротишь ротишь_ротишь досчитывать хорошо много хорошо пиздеть мочь вывозить выбираться...
59,1,33.3,36.8,29.9,история короче длинный история короче длинный хотеть поделиться история медицина...
60,2,26.2,30.0,43.8,появляться бродячий музыкант андрей сделать маленький плюшка читать лежать пляж...
61,0,44.0,26.6,29.4,быть быть хулиган старый становиться думать уставать хулиган быть старый...
62,1,33.7,37.9,28.4,вчера бокс нокдаун блять вчера бокс нокдаун блять париться порожняк...
63,1,25.7,38.5,35.8,прогружение немыслимый воображение заряд мысль движение прогружение сознание вскоре экзамен...
64,2,20.4,34.4,45.2,выходить поле садиться срать далеко видать писка трясти писка трясти...
65,0,43.1,16.7,40.3,йоу тяжелый джанк противовес марихуана отвратительно делать бабка жить собака...
66,2,22.4,29.6,48.0,выебывать вермут блядь че барбекю нос сука вино пролив трусы...
67,1,19.3,58.8,21.9,есть малина трахать полина сочинять блин былина поход чуйский долина...
68,1,8.3,50.0,41.7,уходить ебать телка грубо ху эдвард рука ножницы бумага резать...
69,0,45.2,30.6,24.2,быть зяки зяки шампанское зяки зяки шампанское лоховский жить_жить пацанский...
70,2,22.4,37.3,40.3,принимать газка жопа пенис смазка накуриваться космос подруга держать связь...
71,2,22.7,34.1,43.2,петь гитара иногда случаться трудность звонить трутень труба пиздеть уютно...
72,2,31.0,27.4,41.6,уууууууууу помнить быть сомали трахнуть илья юлия июль месяц жара...
73,2,32.9,32.9,34.2,быть курнуть гарсон сука бедный мальчик киста заражаться пизда очень...
74,0,56.0,12.8,31.2,чувствовать нравиться рука задница нравиться разница сколько щас время нравиться...
75,0,36.2,28.9,34.9,подавать надежда быть прежде бог уставать любить сказать пизда увлекаться...
76,2,28.3,27.4,44.2,йоу кара кара кара коронавирус_нахуй идти коронавирус_нахуй идти коронавирус_нахуй идти...
77,2,29.3,10.5,60.2,здравствовать мама плохо есть мало витя заебывать покупать баян пакаван...
78,0,48.8,18.1,33.0,елка_палка елка_палка мечтать быть мечтать важно палящий солнце дождь быть...
79,2,20.3,39.2,40.5,девчонка постоять давать веселиться лицо радостный дрист течь задница думать...
80,0,54.0,15.5,30.6,ждать диск слияние москва северодвинск рассказывать сказка близкие низкий частота...
81,2,21.1,38.8,40.1,братиш голова аля пригорюниваться слоненок попить водичка моветь птица жить...
82,0,45.9,29.7,24.3,колено_извиняться сука сука быстро делать извиняться_колено извиняться_колено помнить кинуть коля...
83,0,34.9,32.9,32.2,гамак привязывать узел дерево место визит обозначать привлекательно наблюдатель шарооблада...
84,2,0.0,16.7,83.3,основа кокаин спиды спайс цао птаха...
85,0,36.4,28.0,35.6,думать наверно дунуть брат грам хуйня пользоваться пианина дядя сэмпл...
86,0,52.6,24.2,23.2,старичок начинаться_родина бесить ебаный родинка карман коленький голенький метро коломенский...
87,0,57.3,24.1,18.5,сказка напас показывать маз срать унитаз распространять одноразовый технический говорить...
88,2,13.6,20.5,65.9,бит_конфетка первый кокаин давать вместе покакать бухать снова взрывать косяк...
89,2,34.7,24.5,40.8,йо йо йо основа нарк ептэ ептэ нарк йо основа...
90,2,27.9,23.3,48.8,тачка допинг кровь любить рядом сосун номер стройный чикс играть...
91,0,57.4,13.5,29.1,московский улица приветствие жить человек соответственно курить_план вместе убивать друг_друг...
92,1,23.5,43.5,33.0,хуй проскакивать зуб знать гот рот очень маленький ебать друг...
93,0,42.2,23.8,34.0,сам главный вена нетронутый мотив сила повторять застывать тело враг...
94,2,16.7,38.9,44.4,нул курнуть здаров снова дело вова скит пашка музыка основа...
95,1,18.3,62.0,19.7,очко жаться видеть_лицо хотеть хорошо улица че подумать сука блять...
96,1,21.9,42.6,35.5,прятать анаша замес зимний утро искать домашний утварь дуть сад...
97,0,40.6,28.6,30.9,девка нога мясо тарелка караван история волк кормить нога хотеть...
98,2,24.4,29.3,46.3,бит_конфетка цирк смеяться клоун хуйня рэп уклон давать вспомнить старый_добрый...
99,2,22.8,24.6,52.6,пиздец москва слышно малый слышать помощь крик хотеть рэпчик просить...
100,2,7.3,41.5,51.2,винт амфетамин фен просыпаться утро взять сумка состояние мутный работать...
101,2,29.4,28.8,41.8,йо быть быть абонемент ушу спешить сделать ухо сладкий потрогать...
102,2,36.9,26.1,36.9,дрим бровь блин быстров клинит ехать выезд крыло жара самара...
103,0,47.6,31.7,20.7,давно гулять федя сделать нужный макс фадеев пизденка называть скрэтчинг...
104,2,20.4,35.0,44.6,впаривать кляча сапелов карман большой быть_султан покупать солутан марихуана продаваться...
105,2,12.8,14.0,73.3,искусственный пидормот фанера восьмой март чесать залупа надо пижний носитель...
106,2,31.2,18.8,50.0,заезжать техник въезжать технический причина йоу_йоу блев россия андервотер мозги...
107,2,16.5,38.3,45.2,словесный секс словетский слеза йогурт ехать ебург выезд гамбург отпиздить...
108,1,20.0,52.5,27.5,запрещать коррида куб адреналин запрещать коррида куб адреналин мексика кексика...
109,2,32.2,32.2,35.7,слушать задумываться плохо курить первый_раз пропирать первый_раз пропирать альбом готовый...
110,0,36.6,29.4,34.0,открытие клуб собираться крутой мужчина столица цена смущать расставлять расширение...
111,0,100.0,0.0,0.0,пойти_нахуй пойти_нахуй...
112,2,18.8,31.0,50.3,злодеяние потрясать бессмысленный жестокость преступать общечеловеческий закон преступный мир смысл...
113,2,28.5,27.3,44.2,первый_снег первый_снег пакет первый_снег торпеда кайф проезжать мимо мечеть леха...
114,0,47.4,18.9,33.7,массаж простата джулиан ассанж тень папоротник вновь обсаживать интересно выветриваться...
115,2,34.7,19.4,45.9,пидор пидор мтушник сука наебывать урод мту нахуй месяц сидеть...
116,2,20.0,24.0,56.0,чело плотно ловить скит ровный тортилла порошок уходить цао синицын...
117,1,23.3,40.7,36.0,день_рождение максим мучить комар паша проникать маша гопник читать чивава...
118,2,27.4,28.7,43.9,принимать первый дело наводить порча испорченный мент мент сука грандиозный...
119,0,70.1,20.6,9.3,сколько_дым влезать_легкое смеяться быть_напряга остановка сколько можно пялиться телевизор пустой...
120,1,24.2,46.7,29.1,хороший вечер шлюха забывать музыка дача еще мусор трусы уже...
121,0,80.6,3.2,16.1,сегодня команда фк москва играть первый матч вата гимн москва...
122,0,44.2,38.4,17.4,эйоу йоу охуенно текст блять бит блять бит быть текст...
123,0,47.4,22.7,29.9,мать блять сперма_губа сохнуть медленно плов первый котел наверное бить...
124,0,38.2,35.5,26.4,нужно нужно следовать треснуться ильич тренер учить школа ребенок тренер...
125,1,31.1,41.7,27.2,йоу привет хороший традиция ребята слушать_слушать слушать пиздец шайка ебануть...
126,2,25.0,28.9,46.1,паша рыночный гагуль встречаться подуть пара партия пул продувать хватить...
127,1,33.1,48.0,18.9,заводить попугай мочь сдавать разговаривать неоперабельный травма вопрос уважать попугай...
128,0,49.3,19.0,31.7,думать сейчас прийти садиться чаек попить малиновый варение малиновый варение...
129,2,23.6,35.6,40.9,работать трубопрокатный цех горячий мужик гнуть грудь батарея признаваться напарник...
130,2,0.0,10.0,90.0,пойти работа хуйня отсылать резюме позвонить обещать платить обещать платить...
131,0,37.3,32.3,30.4,уже сутки читать пелевин читать раскол знать стрелять джон кеннеди...
132,0,36.0,33.5,30.5,кхэ кхэ кхэ похуй кальмар техник грустный версия фильм нильсен...
133,0,44.5,26.1,29.4,говорить писать искать поблизости уже пророк сновать мышь наверно знать...
134,2,19.4,26.7,53.9,йо купить_ружье купить_ружье подъезд свистеть вдыхать видеть сосед обомлевать побелеть...
135,1,25.4,40.0,34.6,щавель блять похожий пенис приглашать доставать пушка злой кушать летний...
136,2,37.9,20.2,41.9,тюрьма пресс_хата оставлять отпечаток задача непростой предстоять отвечать базар раз...
137,0,51.7,25.9,22.4,хромбимб досчитывать расслабляться приятный нега окутывать чресло просыпаться нескоро чайка...
138,2,29.5,31.7,38.8,пойти дальняк слабительное поссать сидеть слышь фристайл мир удивительный носить...
139,0,44.6,26.5,28.9,приближаться монотонный гул гул гул вдруг начинать всасывать вместе гул...
140,2,31.4,29.3,39.3,история рассказывать двор дом показывать знакомый гном рожать стена виброидный...
141,1,19.4,40.5,40.1,мусор мусор попадать мусорка обвисать ус бровь бусинка пот путинка...
142,2,39.7,12.3,47.9,техник пошляк пойти_нахуй техник быть повод быть повод посасываться взять...
143,2,11.8,20.6,67.6,садиться йоу половик доставаться недавно продавец думать покупать чебурек корова...
144,0,78.4,13.5,8.1,закрывать_глаз увидеть сон_прекрасный сон_прекрасный сон много немой радость счастие прекрасный_сон...
145,2,26.5,32.4,41.1,псков студия сидеть карате чай лимон автомат выдавать хороший бонус...
146,0,68.6,14.3,17.1,свита лоховский бред равный элита московский рэп процент пафос ноль...
147,0,43.8,27.5,28.7,анальный мазь бездарный мразь связь база данные волос пазл козлы...
148,2,38.5,16.9,44.6,садиться блядь доставать второй второй чуть длинный видать трава быть...
149,2,33.3,0.0,66.7,парень отсос приторчаться момент ложка варить втыкать альбом корка бита...
150,0,39.4,24.8,35.8,йоу братва сидеть епт хата братан_братан братан слышь братан_братан давать...
151,1,24.7,41.6,33.8,тело загорелый шлюшка гидропоника порево превращаться море острый ощущение вместе...
152,2,17.6,37.3,45.1,втроем проебываться кальмар переобуваться защеканка терпкий вкус наебывать гусь сваривать...
153,1,22.6,66.0,11.3,йо йо палево палево номер старый салон выдерживать груз курс...
154,1,33.3,36.0,30.7,подобный превращение употребление спайс обычный дело говорить врач курительный смесь...
155,1,0.0,95.0,5.0,серега хотеть хотеть серьга хотеть пиво серьга хотеть пиво серьга...
156,0,54.3,21.6,24.1,йоу_йоу посвящать текст фристайл фристайл великий сайт йоу_йоу техник йоу_йоу...
157,2,29.6,25.9,44.4,раз паша трясти голова простой пертуссин быть скрывать мозготрыв судья...
158,0,60.0,21.4,18.6,земля рождаться жить умирать попадать рай умирать край открывать кран...
159,2,31.3,32.1,36.6,взять заваливать хата пацан пиздатый ляля поначалу вместе бодриться играть_карта...
160,1,24.8,38.1,37.1,душа увлекать солнце луна побыть мгла быть нежный понимать есть...
161,1,23.7,42.1,34.2,хотеть понимать текстовый волна ходить война мазурик хорошо уж гасить...
162,2,23.7,33.1,43.2,хороший приседать вася стул сутулый майор сегодня дуть брать круглый...
163,0,80.0,13.3,6.7,основа тупой система бежать строка накормить измена собака павлов падло...
164,2,33.3,25.9,40.8,вчера зайти красиво чуть доебсти уже спасать увезти больница лежать...
165,0,39.4,24.8,35.8,йоу братва сидеть епт хата братан_братан братан слышь братан_братан давать...
166,0,61.8,26.0,12.2,впервые встречать мир притихать замирать ветер звезда зажигаться небо жаркий...
167,0,81.0,14.3,4.8,раз контейнер техника неспелый мешок сбор пыль шмаль придумывать россия...
168,2,43.8,0.0,56.2,подставлять стул надо быть стул минимум скоро костыль ветер сдуть...
169,2,22.2,23.8,54.0,йоу друг_припадочный тип короче спрашивать записываться ебать_рот друг подруга потный...
170,1,17.4,47.0,35.6,выходить подвал накинуть намазывать век точка накидать штаны гагра васек...
171,2,13.0,25.9,61.1,арра арра атаковать большой хуй снимать штаны дружок вместе потанцевать...
172,2,47.5,3.3,49.2,наоборот здравствовать мама плохо есть мало витя заебывать покупать баян...
173,2,14.7,38.7,46.7,плов быть прошлый альбом привет сосок пизда вонять очень сильно...
174,0,57.4,6.4,36.2,быть слышно курить шишка московский картофель хрусткий сметана вырубать роса...
175,1,29.9,40.3,29.9,родной роман разливной отходить надолго еда восвояси экспресс наверх домой...
176,0,37.9,24.1,37.9,улица дождь видеть бросать человек наверное вмазываться глядеть район жить...
177,0,36.8,29.2,34.1,уставать видеть жалкий рожа метро ехать скейтборд трамвай искать смысл...
178,2,20.4,18.6,61.1,ехать выезд выезд ехать тачка утро москва сатурн динамо ехать...
179,0,47.4,21.9,30.7,раз йоу паша заходить быть читать согласный квасить вася прайс...
180,0,54.5,30.9,14.6,ая захавать захавать голова маразм вспоминать старый хотеть_начинать сначала быть...
181,0,43.2,24.6,32.2,первый раунд автобиография мемуары хороший воспоминание шмар помнить давать жара...
182,0,55.9,22.1,22.1,понимать_понимать пьяный накуривать план глаз стеклянный синий лавэ ночь делать...
183,2,27.0,36.0,36.9,тип интерес прикол карманный_бильярд рот миллиард карта пудра ровнять яйцо...
184,0,47.3,21.8,30.9,выращивать куст конопля выращивать куст конопля сидеть бункер уминать булка...
185,2,33.3,30.0,36.7,грузинский шашлык красивый ситуация девушка менструация читать нотация идти_нахуй слышь...
186,0,57.1,2.9,40.0,много важный строка просить дружок дослушивать альбом последний строка напрягаться...
187,1,17.4,50.0,32.6,хотеть баба хотеть_бабка хотеть баба хотеть_бабка хотеть_бабка хотеть баба кот...
188,0,76.3,6.8,16.9,спетуш цска_ненавидеть спарта ак ненавидеть спартак цска_ненавидеть ненавидеть ненавидеть спарта...
189,0,50.0,16.5,33.5,новый формат переиздание рэп слово оказывать влияние масса выливать хула...
190,1,18.9,60.4,20.8,йоу_йоу носитель член рука жопа вдалеке видеть налегке воздух готовый...
191,2,26.7,32.9,40.3,стоять губа_дура кашлять окружать каштан страшно кошмар быть сначала жарко...
192,2,37.0,13.9,49.1,притягивать компьютер байт секунда ноль пузырь немного порох вмазывать туалет...
193,0,55.3,21.2,23.5,йо раз бывать алиби похуй жить_жить жить быть алиби магазин...
194,0,50.9,21.8,27.3,микрофон записывать порнуха записывать пора ху подымать_рука высокий подавать стук...
195,0,49.1,27.7,23.2,сигарета зуб ночь двор пытаться нащупывать спичка карман искаженный тень...
196,0,60.0,28.0,12.0,гудбай избивать вид впитывать счастие улыбка лицо зуб глубоко боль...
197,0,40.1,34.9,25.0,ааа отбивать бок расцветать мак барак партак быть зэк киев...
198,0,42.7,34.7,22.7,александр владимирович потапов стоять приезжать просьба инициативный группа дом возглавлять...
199,0,52.3,26.2,21.5,безбашенный сосать рифма бас ударный бить башня обсаживать наверное клевый...
200,0,45.1,28.0,26.9,ребята больше быть больше быть йоууу еба давать приколить парашют...
201,0,65.8,11.4,22.8,говорить погибать брэдфорд чисто условно называться рано быть быть быть...
202,0,76.9,7.7,15.4,звездочка алый искорка малый чувство глубокий счастие далекий притягивать компьютер...
203,1,0.0,88.9,11.1,сперма жопа сбиваться сперма спирать спирать нужный_насвая звонить раскольников сниматься_порно...
204,2,18.6,37.2,44.2,резать первый арбуз первый астраханский_арбуз яна пьяный снимать обувь снимать...
205,1,33.8,46.8,19.3,очко жать видеть_лицо хотеть хорошо улица наюзана смотреть декольте бусы...
206,2,21.2,24.2,54.5,паша_техник че хуйня парень обоссаться подъезд район живот порваться борцовский...
207,1,21.2,39.7,39.0,ауе жизнь вор привет попросить зачаток отпечаток знать бронницы поезд...
208,0,43.3,34.0,22.7,кед направлять мысль слепой пыхтеть метрополь фанат стас пьехи выезд...
